report_id,company_name,industry,sub_industry,scope_key,total_pages,method,ablation,total_process_runtime_seconds,total_tokens,model
0b36f1a6-d283-4aad-bc37-807347214057,2025-ALS-Sustainability-Report,Resource Transformation,Industrial Machinery & Goods,Industrial Machinery & Goods,136,M1,A4,2.5298761490003017,0,gpt-5.2-2025-12-11
fbef90a1-0131-4707-a4cd-39be8c15b96c,Sustainability Report 2023,Renewable Resources & Alternative Energy,Solar Technology & Project Developers,Solar Technology & Project Developers,74,M1,A4,3.758024538000427,0,gpt-5.2-2025-12-11
b5ea1eac-abad-4813-b4d6-7819c41f3e99,esg-focus-for-investors-february-2026,Renewable Resources & Alternative Energy,Wind Technology & Project Developers,Wind Technology & Project Developers,83,M1,A4,1.954939401000047,0,gpt-5.2-2025-12-11
3498d583-cb5c-408b-9f1a-edd4cc5fc285,ireland-gender-pay-gap-report-2025,Food & Beverage,Non-Alcoholic Beverages,Non-Alcoholic Beverages,9,M1,A5,190.48402127499958,96298,gpt-5.2-2025-12-11
093f2d23-5f2f-47b9-9ea3-ff36920ac675,Woolworths Group 2024 Sustainability Report,Consumer Goods,Multiline and Specialty Retailers & Distributors,Multiline and Specialty Retailers & Distributors,40,M1,A5,151.25543605699932,109229,gpt-5.2-2025-12-11
33a8702e-b1ec-44c7-9049-dbb1cef33eef,Sustainability_Report_2024,Consumer Goods,Multiline and Specialty Retailers & Distributors,Multiline and Specialty Retailers & Distributors,68,M1,A5,137.603574028999,100916,gpt-5.2-2025-12-11
33a8702e-b1ec-44c7-9049-dbb1cef33eef,Sustainability_Report_2024,Consumer Goods,Multiline and Specialty Retailers & Distributors,Multiline and Specialty Retailers & Distributors,68,M1,A5,130.98736811900017,100709,gpt-5.2-2025-12-11
abfbf9ad-f8c0-4ea1-9cab-3ba8c10691ad,P&G esg 2024,Consumer Goods,Household & Personal Products,Household & Personal Products,47,M1,A5,105.00680743699922,51657,gpt-5.2-2025-12-11
08b5581b-befd-4bfd-b226-b24c23a7081e,APA-2024SustainabilityReport,Infrastructure,Gas Utilities & Distributors,Gas Utilities & Distributors,86,M1,A5,151.10121886399975,88793,gpt-5.2-2025-12-11
1164cec7-2dcd-4a89-b630-14245bcd9e62,NextEra Energy Sustainability Report 2024,Renewable Resources & Alternative Energy,Wind Technology & Project Developers,Wind Technology & Project Developers,72,M1,A5,103.02285771900097,65865,gpt-5.2-2025-12-11
33c8ed39-f506-4444-aff7-6b1f78c0f5cf,esg-environment-social-governance-basf-ar23,Resource Transformation,Chemicals,Chemicals,67,M1,A5,210.540633401999,95065,gpt-5.2-2025-12-11
0b36f1a6-d283-4aad-bc37-807347214057,2025-ALS-Sustainability-Report,Resource Transformation,Industrial Machinery & Goods,Industrial Machinery & Goods,136,M1,A5,119.38071484200009,57532,gpt-5.2-2025-12-11
fbef90a1-0131-4707-a4cd-39be8c15b96c,Sustainability Report 2023,Renewable Resources & Alternative Energy,Solar Technology & Project Developers,Solar Technology & Project Developers,74,M1,A5,184.48903349600005,77337,gpt-5.2-2025-12-11
b5ea1eac-abad-4813-b4d6-7819c41f3e99,esg-focus-for-investors-february-2026,Renewable Resources & Alternative Energy,Wind Technology & Project Developers,Wind Technology & Project Developers,83,M1,A5,98.47391896500085,34850,gpt-5.2-2025-12-11
2be9d6e7-65c4-4bf0-a930-9dabb1957ba0,Sustainability_Profile_2024,Infrastructure,Gas Utilities & Distributors,Gas Utilities & Distributors,58,M1,A5,155.2058999059991,87111,gpt-5.2-2025-12-11
11fc0e9f-9146-44fc-bb91-f41402325ee0,Starbucks-Fiscal-2024-Global-Impact-Report,Food & Beverage,Non-Alcoholic Beverages,Non-Alcoholic Beverages,54,M1,A5,199.65561235600035,82640,gpt-5.2-2025-12-11
ea2ee64e-de07-42e1-86ed-196596d84555,McDonalds_PurposeImpact_ProgressReport_2024_2025,Food & Beverage,Restaurants,Restaurants,49,M1,A5,239.6506871239999,112546,gpt-5.2-2025-12-11
09e9db8c-998b-46b0-b786-4b61f157e65d,SHL_Sustainability-Report_2025,Health Care,Medical Equipment & Supplies,Medical Equipment & Supplies,172,M1,A5,139.33469291999972,77653,gpt-5.2-2025-12-11
a92a8494-9b24-4a8d-b43a-7f484319937b,rhc_2025_impact_report,Health Care,Health Care Delivery,Health Care Delivery,55,M1,A5,304.15894245100026,166006,gpt-5.2-2025-12-11
d0546854-e331-4ec6-b1db-ade1e55f106d,Hearing-Australia-FY24-ESG-Sustainability-Report,Health Care,Health Care Delivery,Health Care Delivery,32,M1,A5,254.32646399299847,102758,gpt-5.2-2025-12-11
0f329818-5c69-4f81-9dc2-a31415212f86,MCG esg 2024,Financials,Investment Banking & Brokerage,Investment Banking & Brokerage,21,M1,A5,176.43711157299913,77282,gpt-5.2-2025-12-11
